algorithm,volume,density,radius,points,consctruction_time,data_size,query_pairs_time,filtering_time,total_time,min_memory,max_memory,type,seed
find_neighbors,1,100,2,401323,3.251538754,3215432,0.3028116226,1.372806549,5.116928101,1284.183594,1284.183594,radius,1
find_neighbors,1,100,2,401323,3.248864412,3215432,0.3071818352,1.386657953,5.133633852,1284.183594,1284.183594,radius,1
find_neighbors,1,100,2,401323,3.28120327,3215432,0.2965707779,1.386543036,5.156252861,1284.183594,1284.183594,radius,1
find_neighbors,1,100,2,401323,3.239494085,3215432,0.3021364212,1.373589277,5.103977442,1284.183594,1284.183594,radius,1
find_neighbors,1,100,2,401323,3.236886978,3215432,0.3055632114,1.37370348,5.107892513,1284.183594,1284.183594,radius,1
find_neighbors,1,100,2.5,400899,3.234799147,3215432,0.344114542,1.189431906,4.951762199,1284.183594,1284.183594,radius,1
find_neighbors,1,100,2.5,400899,3.227260113,3215432,0.2993047237,1.918473244,5.624035358,1284.183594,1284.183594,radius,1
find_neighbors,1,100,2.5,400899,3.243549585,3215432,0.3000500202,1.208319664,4.943027973,1284.183594,1284.183594,radius,1
find_neighbors,1,100,2.5,400899,3.219373703,3215432,0.2998433113,1.20889616,4.905246973,1284.183594,1284.183594,radius,1
find_neighbors,1,100,2.5,400899,3.227656841,3215432,0.3028697968,1.208082199,4.917922974,1284.183594,1284.183594,radius,1
find_neighbors,1,100,2.5,400899,3.244303465,3215432,0.3008782864,1.213037014,4.940519094,1284.183594,1284.183594,radius,1
find_neighbors,1,100,2.5,400899,3.223147631,3215432,0.3027935028,1.216539145,4.923953772,1284.183594,1284.183594,radius,1
find_neighbors,1,100,2.5,400899,3.229445696,3215432,0.3010859489,1.201102495,4.909837961,1284.183594,1284.183594,radius,1
find_neighbors,1,100,2.5,400899,3.227114916,3215432,0.2990546227,1.208120346,4.918659687,1284.183594,1284.183594,radius,1
find_neighbors,1,100,2.5,400899,3.219119549,3215432,0.2982730865,1.198486805,4.894527435,1284.183594,1284.183594,radius,1
find_neighbors,1,100,3,407037,3.294042826,3617384,0.3544206619,1.10074234,4.921863556,1284.183594,1284.183594,radius,1
find_neighbors,1,100,3,407037,3.287149668,3617384,0.3036921024,1.139652729,4.91076684,1284.183594,1284.183594,radius,1
find_neighbors,1,100,3,407037,3.290136337,3617384,0.3064043522,1.126256227,4.90301156,1284.183594,1284.183594,radius,1
find_neighbors,1,100,3,407037,3.290976048,3617384,0.3022909164,1.84033227,5.614621639,1284.183594,1284.183594,radius,1
find_neighbors,1,100,3,407037,3.30181551,3617384,0.3022346497,1.136499166,4.930513859,1284.183594,1284.183594,radius,1
find_neighbors,1,100,3,407037,3.291704893,3617384,0.302697897,1.115885496,4.888526201,1284.183594,1284.183594,radius,1
find_neighbors,1,100,3,407037,3.294576168,3617384,0.3035869598,1.123436689,4.89531827,1284.183594,1284.183594,radius,1
find_neighbors,1,100,3,407037,3.286907911,3617384,0.3015203476,1.125468969,4.890641212,1284.183594,1284.183594,radius,1
find_neighbors,1,100,3,407037,3.30207324,3617384,0.3047351837,1.128573418,4.924598455,1284.183594,1284.183594,radius,1
find_neighbors,1,100,3,407037,3.300106764,3617384,0.3028252125,1.123275995,4.911889553,1284.183594,1284.183594,radius,1
find_neighbors,1,100,3.5,413033,3.34783721,3617384,0.389234066,1.590852261,5.520703077,1284.183594,1290.554688,radius,1
find_neighbors,1,100,3.5,413033,3.350996494,3617384,0.3377795219,1.61162734,5.499680281,1290.554688,1290.679688,radius,1
find_neighbors,1,100,3.5,413033,3.364728689,3617384,0.3446950912,1.642775059,5.553232908,1290.679688,1290.679688,radius,1
find_neighbors,1,100,3.5,413033,3.343557119,3617384,0.338704586,1.627247334,5.5084126,1290.679688,1292.582031,radius,1
find_neighbors,1,100,3.5,413033,3.335558176,3617384,0.3420231342,2.361217737,6.23754859,1292.582031,1292.707031,radius,1
find_neighbors,1,100,3.5,413033,3.346479416,3617384,0.3390002251,1.612055302,5.514379025,1292.707031,1292.707031,radius,1
find_neighbors,1,100,3.5,413033,3.34542799,3617384,0.3385331631,1.60476923,5.488708496,1292.707031,1292.707031,radius,1
find_neighbors,1,100,3.5,413033,3.354682207,3617384,0.3386573792,1.598953962,5.495893717,1292.707031,1292.707031,radius,1
find_neighbors,1,100,3.5,413033,3.350165367,3617384,0.3400409222,1.656264782,5.547127724,1292.707031,1292.707031,radius,1
find_neighbors,1,100,3.5,413033,3.348411798,3617384,0.3425080776,1.608875275,5.500294924,1292.707031,1292.707031,radius,1
find_neighbors,1,100,4,420959,3.420247793,3617384,0.4382996559,2.084676027,6.167668104,1292.707031,1301.738281,radius,1
find_neighbors,1,100,4,420959,3.407006979,3617384,0.3830761909,2.099010468,6.118242025,1301.738281,1309.726563,radius,1
find_neighbors,1,100,4,420959,3.435369253,3617384,0.3815360069,2.838978291,6.884987116,1309.726563,1309.851563,radius,1
find_neighbors,1,100,4,420959,3.43853569,3617384,0.378272295,2.085462093,6.142449141,1309.851563,1309.851563,radius,1
find_neighbors,1,100,4,420959,3.431278229,3617384,0.3721168041,2.074848413,6.104494572,1309.851563,1309.851563,radius,1
find_neighbors,1,100,4,420959,3.417100668,3617384,0.3813085556,2.102465391,6.127501726,1309.851563,1309.851563,radius,1
find_neighbors,1,100,4,420959,3.418584585,3617384,0.3775804043,2.104903936,6.129799366,1309.851563,1309.851563,radius,1
find_neighbors,1,100,4,420959,3.424759626,3617384,0.376680851,2.10839653,6.14043045,1309.851563,1309.851563,radius,1
find_neighbors,1,100,4,420959,3.419739008,3617384,0.3777956963,2.079018593,6.104299068,1309.851563,1309.851563,radius,1
find_neighbors,1,100,4,420959,3.424509287,3617384,0.3782875538,2.111861706,6.145648479,1309.851563,1309.851563,radius,1
find_neighbors,1,100,4.5,405327,3.318150997,3617384,0.4486584663,2.930170774,6.949936867,1309.851563,1309.851563,radius,1
find_neighbors,1,100,4.5,405327,3.315107346,3617384,0.407558918,2.196408272,6.191987991,1309.851563,1309.851563,radius,1
find_neighbors,1,100,4.5,405327,3.316635847,3617384,0.4004576206,2.273183346,6.246179819,1309.851563,1309.851563,radius,1
find_neighbors,1,100,4.5,405327,3.320892811,3617384,0.4017415047,2.227202177,6.208738804,1309.851563,1309.851563,radius,1
find_neighbors,1,100,4.5,405327,3.33518672,3617384,0.404417038,2.22823596,6.221141815,1309.851563,1309.851563,radius,1
find_neighbors,1,100,4.5,405327,3.353325367,3617384,0.4035096169,2.236732006,6.249485731,1309.851563,1309.851563,radius,1
find_neighbors,1,100,4.5,405327,3.321981192,3617384,0.4021875858,2.260977745,6.250937223,1309.851563,1309.851563,radius,1
find_neighbors,1,100,4.5,405327,3.337095737,3617384,0.4061033726,2.187120438,6.193217516,1309.851563,1309.851563,radius,1
find_neighbors,1,100,4.5,405327,3.324148893,3617384,0.4020867348,2.261176825,6.247823954,1309.851563,1309.851563,radius,1
find_neighbors,1,100,4.5,405327,3.327702761,3617384,0.4073433876,3.001091003,6.994437456,1309.851563,1309.851563,radius,1
find_neighbors,1,100,5,407854,3.343958855,3617384,0.6433403492,2.325903416,6.69598794,1309.851563,1356.03125,radius,1
